0,1,2,3,4,5,6,7,8,9,10,11,label
0.554984822869301,0.333333333333333,2,2,2,0,4,3,3,1,0.666666666666667,0.666666666666667,1
0.638902855770929,0.857142857142857,3,4,3,0.857142857142857,4,6,6,1,0.4,0.666666666666667,1
0.638902855770929,0.857142857142857,3,4,3,0.857142857142857,4,6,6,1,0.2,0.666666666666667,1
0.972065150737762,1,2,2,2,0,4,3,2,1,1,1,1
0.972065150737762,1,2,2,2,0,4,3,2,1,1,1,1
0.637525141239166,1,0,0,0,0,1,1,1,0,0,0,1
0.599686706066132,0.6,2,2,2,0.4,2,2,3,1,0.5,1,1
0.801713794469833,1,2,2,2,0.75,5,4,3,1,0.666666666666667,0.5,1
0.55636927485466,0.333333333333333,1,1,1,1,1,1,1,1,1,1,1
0.665283650159836,0.5,1,1,1,0.5,1,1,1,1,1,1,1
0.221097786511694,0,0,0,0,0,0,1,1,0,0,0,1
0.677250425020854,0.833333333333333,5,6,3,0.666666666666667,5,4,3,1,0.5,1,1
0.671438296635946,0.666666666666667,1,2,2,0.333333333333333,4,4,5,1,1,1,1
0.750473956267039,1,2,2,1,0,3,2,1,1,0,1,1
0.598264286915461,0.555555555555556,3,3,5,0.555555555555556,3,5,5,1,0.4,0.6,1
0.393114437970022,0.166666666666667,1,1,1,0,3,6,1,1,0,0.5,1
0.919101893901825,1,1,1,1,0,2,1,1,1,1,0,1
0.662621945142746,0.8,3,3,1,1,5,6,2,1,0.666666666666667,0.5,1
0.431998485326767,0.2,1,1,1,0.2,2,2,1,1,0.5,1,1
0.627361536026001,0.666666666666667,1,1,1,0,0,2,1,1,0.5,0.5,1
0.961025178432465,1,2,2,2,0,4,3,2,1,1,1,1
0.503292888402939,0.454545454545454,1,1,1,0,2,3,5,1,0.25,0,1
0.524208717048168,0.5,1,2,2,0.5,4,3,3,1,0.5,0.5,1
0.57896167524159,0.9,5,6,2,0.5,13,12,4,1,0.5,1,1
0.528981609379544,0.411764705882353,6,6,6,0,6,11,9,1,0.2,0.7,1
0.694024443626404,1,2,2,2,1,2,2,2,1,1,1,1
0.629886349042257,1,1,1,2,1,2,2,3,1,1,1,1
0.873379906018575,1,3,3,3,0,6,5,3,1,0,1,1
0.82350492477417,1,2,2,2,1,4,3,2,1,1,1,1
0.463512790203095,0.2,1,2,2,0,4,4,2,1,0.5,1,1
0.534535092115402,0.6,1,1,1,0,4,2,1,1,1,0,1
0.861993730068207,1,4,4,6,1,8,8,8,1,0.666666666666667,0.666666666666667,1
0.861993730068207,1,4,4,6,1,8,8,8,1,0.666666666666667,0.666666666666667,1
0.648089036345482,0.5,2,2,2,0.5,4,3,2,1,0.333333333333333,0.333333333333333,1
0.833592553933462,1,3,3,3,0,3,3,3,1,0,1,1
0.487489919890376,0.470588235294118,6,6,7,0.294117647058823,11,16,13,1,0.428571428571429,0.8,1
0.908213704824448,1,4,4,3,1,4,4,3,1,0.333333333333333,1,1
0.700763911008835,0.5,1,1,1,0.5,1,1,1,1,1,1,1
0.632966031630834,0.666666666666667,1,1,1,1,1,1,1,1,0,0.5,1
0.728327512741089,1,2,2,1,0,1,1,1,1,0,0,1
0.728327512741089,1,2,2,1,0,1,1,1,1,0,0,1
0.567640896354403,0.571428571428571,3,3,1,0.142857142857143,3,4,1,1,0.25,0.333333333333333,1
0.733701744249889,0.857142857142857,4,4,4,1,4,4,5,1,0.25,1,1
0.611652660369873,0.8,2,2,2,0.4,2,4,3,1,0,0.5,1
0.146739969030023,0,0,0,0,0,0,5,1,0,0,0,1
0.197570828348398,0,0,0,0,0,0,1,1,0,0,0,1
